ML_ID,Species,ClipStart,ClipEnd,Tags
74011581,Black-bellied Whistling-Duck,0,12,Ducks audio call flock
195692761,Black-bellied Whistling-Duck,2,6,Ducks audio call
622663106,Black-bellied Whistling-Duck,15,24,Ducks audio call
260901231,Black-bellied Whistling-Duck,1,10,Ducks audio call
65843851,Fulvous Whistling-Duck,1,11,Ducks audio call
65272451,Fulvous Whistling-Duck,1,10,Ducks audio call
97450,Fulvous Whistling-Duck,10,18,Ducks audio call
311981581,Wood Duck,,,Ducks audio call female
108151031,Wood Duck,,,Ducks audio call male
185564351,Wood Duck,2,6,Ducks audio call
438063691,Wood Duck,0,7,Ducks audio call
539096601,Wood Duck,2,8,Ducks audio call
304089,Mallard,2,9.5,Ducks audio call female
105200981,Mallard,,,Ducks audio call female
439982151,Mallard,0,9,Ducks audio call male
478515451,Mallard,0,5,Ducks audio call female
228373231,Mallard,0,4,Ducks audio call
316823101,Mallard,,,Ducks audio call
616369747,American Black Duck,,,Ducks audio call female
150360461,American Black Duck,3,10,Ducks audio call female
126638221,American Black Duck,0,8,Ducks audio call male
310887101,Gadwall,,,Ducks audio call female
312616801,Gadwall,1,9.5,Ducks audio call female
396910611,Gadwall,1,7,Ducks audio call male
305663,Gadwall,0,8,Ducks audio call
132775001,Green-winged Teal,2,9,Ducks audio call male
26918121,Green-winged Teal,,,Ducks audio call male
251158831,Green-winged Teal,0,9.5,Ducks audio call
74730181,Green-winged Teal,0,10,Ducks audio call female
296948,Northern Shoveler,2,6,Ducks audio call male
325756421,Northern Shoveler,1,11,Ducks audio call male
627593359,Northern Shoveler,,,Ducks audio call flight pair
300925421,Northern Pintail,1,10,Ducks audio call display
386237831,Northern Pintail,,,Ducks audio call
136434,Northern Pintail,5,11,Ducks audio call
44288271,Redhead,,,Ducks audio call
618839766,Redhead,,,Ducks audio call
116264011,Redhead,,,Ducks audio call
138213,Bufflehead,5,12.5,Ducks audio call
170516911,Bufflehead,0,9,Ducks audio call
630165779,Bufflehead,,,Ducks audio call
465097181,Ring-necked Duck,1,9,Ducks audio call female
202618771,Ring-necked Duck,,,Ducks audio display
32239961,Ring-necked Duck,0,10,Ducks audio call male
202424671,Long-tailed Duck,0,10,Ducks audio song winter male
32797411,Long-tailed Duck,0,9,Ducks audio song male
303453,Long-tailed Duck,0,9,Ducks audio call
414921191,Hooded Merganser,0,3,Ducks audio display male
422708951,Hooded Merganser,6,11,Ducks audio call
409696851,Hooded Merganser,,,Ducks audio call