ML_ID,Species,Tags,ClipStart,ClipEnd
73916,Acadian Flycatcher,audio,36,48
637869284,Acadian Flycatcher,audio,0,14
363934031,Acadian Flycatcher,audio,0,15
344572791,Acadian Flycatcher,audio,0,11
240797261,Acadian Flycatcher,audio,0,5
84882,Acadian Flycatcher,audio,7,18
367573421,Acadian Flycatcher,audio,17,33
100869,Least Flycatcher,audio,5,13
104489111,Least Flycatcher,audio,0,12
100845,Least Flycatcher,audio,5,16
7639,Least Flycatcher,audio,3,15
61121371,Least Flycatcher,audio,0,11.5
349542131,Least Flycatcher,audio,5,11
574154451,Least Flycatcher,audio,0,10
100881,Yellow-Bellied Flycatcher,audio,10,17
73985,Yellow-Bellied Flycatcher,audio,5,12
106882021,Yellow-Bellied Flycatcher,audio,2,15
455737921,Yellow-Bellied Flycatcher,audio,6,14
136570,Yellow-Bellied Flycatcher,audio,44,59
608900778,Yellow-Bellied Flycatcher,audio,0,9
100880,Yellow-Bellied Flycatcher,audio,5,15
132247,Alder Flycatcher,audio,5,17
85215,Alder Flycatcher,audio,4,15
244914671,Alder Flycatcher,audio,18,27
356114041,Alder Flycatcher,audio,,
7566,Alder Flycatcher,audio,32,44
347749551,Alder Flycatcher,audio,1,7
176907171,Alder Flycatcher,audio,0,13
94402,Willow Flycatcher,audio,6,13
84831,Willow Flycatcher,audio,5,17
84843,Willow Flycatcher,audio,6,12
358607041,Willow Flycatcher,audio,9,23.5
84830,Willow Flycatcher,audio,5,16
84829,Willow Flycatcher,audio,3,15
639264701,Willow Flycatcher,audio,1,15
493386651,Hammond’s Flycatcher,,,
332475891,Hammond’s Flycatcher,,,
634204829,Hammond’s Flycatcher,,2,14
487842601,Hammond’s Flycatcher,,,
626623694,Hammond’s Flycatcher,,1,12
433750931,Hammond’s Flycatcher,,0,13
70170251,Hammond’s Flycatcher,,1,13
195035,Gray Flycatcher,,5,14
195007,Gray Flycatcher,,105,119
195034,Gray Flycatcher,,8,20
195033,Gray Flycatcher,,7,24
612241159,Gray Flycatcher,,0,13
557749381,Gray Flycatcher,,2,10
73626831,Gray Flycatcher,,0,11
,Dusky Flycatcher,,,
,Dusky Flycatcher,,,
,Dusky Flycatcher,,,
,Dusky Flycatcher,,,
,Dusky Flycatcher,,,
,Dusky Flycatcher,,,
,Dusky Flycatcher,,,
,Pacific-Slope Flycatcher,,,
,Pacific-Slope Flycatcher,,,
,Pacific-Slope Flycatcher,,,
,Pacific-Slope Flycatcher,,,
,Pacific-Slope Flycatcher,,,
,Pacific-Slope Flycatcher,,,
,Pacific-Slope Flycatcher,,,
,Cordilleran Flycatcher,,,
,Cordilleran Flycatcher,,,
,Cordilleran Flycatcher,,,
,Cordilleran Flycatcher,,,
,Cordilleran Flycatcher,,,
,Cordilleran Flycatcher,,,
,Cordilleran Flycatcher,,,