Species,TaxonCode,Limit,Tags,QueryParams
Black-Necked Stilt,bknsti,15,Stilt shorebirds,
American Avocet,ameavo,15,Avocet shorebirds,
Black-Bellied Plover,bkbplo,15,Plover shorebirds,
American Golden-Plover,amgplo,15,Plover shorebirds,
Killdeer,killde,15,Plover shorebirds,
Semipalmated Plover,semplo,15,Plover shorebirds,
Piping Plover,pipplo,15,Plover shorebirds,
Upland Sandpiper,uplsan,15,Sandpiper shorebirds,
Whimbrel,whimbr3,15,shorebirds,
Hudsonian Godwit,hudgod,15,Godwit shorebirds,
Marbled Godwit,margod,15,Godwit shorebirds,
Ruddy Turnstone,rudtur,15,shorebirds,
Red Knot,redkno,15,shorebirds,
Sanderling,sander,15,shorebirds,
Semipalmated Sandpiper,semsan,15,Peep sandpiper shorebirds,
Western Sandpiper,wessan,15,Peep sandpiper shorebirds,
Least Sandpiper,leasan,15,Peep sandpiper shorebirds,
White-Rumped Sandpiper,whrsan,15,Peep sandpiper shorebirds,
Baird’s Sandpiper,baisan,15,Peep sandpiper shorebirds,
Dunlin,dunlin,15,shorebirds,
Stilt Sandpiper,stisan,15,Sandpiper shorebirds,
Pectoral Sandpiper,pecsan,15,Sandpiper shorebirds,
Buff-Breasted Sandpiper,bubsan,15,Sandpiper shorebirds,
Short-Billed Dowitcher,shbdow,15,Dowitcher shorebirds,
Long-Billed Dowitcher,lobdow,15,Dowitcher shorebirds,
Wilson’s Snipe,wilsni1,15,shorebirds,
Spotted Sandpiper,sposan,15,Sandpiper shorebirds,
Solitary Sandpiper,solsan,15,Sandpiper shorebirds,
Willet,willet1,15,shorebirds,
Greater Yellowlegs,greyel,15,shorebirds,
Lesser Yellowlegs,lesyel,15,shorebirds,
Wilson's Phalarope,wilpha,15,Phalarope shorebirds,
Red-Necked Phalarope,renpha,15,Phalarope shorebirds,
Red Phalarope,redpha1,15,Phalarope shorebirds,